,,,,,,,,,,,,,,,,,,,,,
,,,RANCHO PALOS VERDES GOLF AND COUNTRY CLUB,,,,,,,,,,,,,,,,,,
,,,DEDUCTION SUMMARY,,,,,,,,,,,,,,,,,,
,,,SUPERVISOR,,,,,,,,,,,,,,,,,,
,,,PAYROLL PERIOD:,"Nov. 24 to Dec. 08, 2025",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,EMPLOYEE NAME,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FNB,ATD,,,,,OTHER ,,
,,,,SSS,Calamity,Pag-Ibig,Pag-Ibig,Emp.loan,Cash,Emerg.,Emp.,Rice,Mandug,Bag/umbrella,RAFFLE,Relief,GLOBE,Alsons,CHARGES,W/Held,
,,,,Loan,Loan,Loan,Loan,Regular,Advance,Loan,Savings,Coop,Maa-ATD,GC,TICKET,Zenda,PLAN,Insurance,alcohol,TAX,Total
,FINANCE DEPARTMENT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,1,Employee A,,"  1,385.00 ",,"  1,345.91 ",,"  1,700.00 ","  1,000.00 ",,"  1,000.00 ",  775.00 ,,,  125.00 ,,  821.82 ,,,,"  8,152.73 "
,,,,,,,,,,,,,,,,,,,,,  -   
2,2,Employee B,,,,,,"  2,700.00 ","  1,000.00 ",,"  2,500.00 ","  1,250.00 ","  1,295.00 ",,  125.00 ,,"  1,068.98 ",,  102.68 ,,"  10,041.66 "
,,,,,,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,"  1,385.00 ",  -   ,"  1,345.91 ",  -   ,"  4,400.00 ","  2,000.00 ",  -   ,"  3,500.00 ","  2,025.00 ","  1,295.00 ",  -   ,  250.00 ,  -   ,"  1,890.80 ",  -   ,  102.68 ,  -   ,"  18,194.39 "
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,  -   
,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   
,,,,,,,,,,,,,,,,,,,,,
,GENERAL AND ADMINISTRATION,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,1,Employee C,,"  1,500.00 ",,  864.56 ,,"  2,750.00 ","  1,000.00 ",,"  2,000.00 ",,  247.50 ,,  125.00 ,,,,,,"  8,487.06 "
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,"  1,500.00 ",  -   ,  864.56 ,  -   ,"  2,750.00 ","  1,000.00 ",  -   ,"  2,000.00 ",  -   ,  247.50 ,  -   ,  125.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,"  8,487.06 "
,,,,,,,,,,,,,,,,,,,,,
,GOLF MAINTENANCE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1,Employee D,,,,,,"  2,548.00 ",  550.00 ,,"  2,500.00 ",  125.00 ,,,  125.00 ,,"  1,206.02 ",,,,"  7,054.02 "
,,,,,,,,,,,,,,,,,,,,,  -   
,2,Employee E,,,,,,"  1,150.00 ",  550.00 ,,"  1,200.00 ",,,,  125.00 ,,  390.73 ,,,,"  3,415.73 "
,,,,,,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,  -   ,  -   ,  -   ,  -   ,"  3,698.00 ","  1,100.00 ",  -   ,"  3,700.00 ",  125.00 ,  -   ,  -   ,  250.00 ,  -   ,"  1,596.75 ",  -   ,  -   ,  -   ,"  10,469.75 "
,,,,,,,,,,,,,,,,,,,,,
,GOLF OPERATION,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,1,Employee F,,,,,,"  2,370.00 ",,,"  1,000.00 ",,,  200.00 ,  125.00 ,,  552.44 ,  246.50 ,,,"  4,493.94 "
,,,,,,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,  -   ,  -   ,  -   ,  -   ,"  2,370.00 ",  -   ,  -   ,"  1,000.00 ",  -   ,  -   ,  200.00 ,  125.00 ,  -   ,  552.44 ,  246.50 ,  -   ,  -   ,"  4,493.94 "
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,HUMAN RESOURCE & DEVELOPMENT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,1,Employee G,,,,,,"  1,500.00 ","  1,000.00 ",  500.00 ,"  1,000.00 ",  600.00 ,  237.50 ,,  125.00 ,,  841.73 ,,,,"  5,804.23 "
,,,,,,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,  -   ,  -   ,  -   ,  -   ,"  1,500.00 ","  1,000.00 ",  500.00 ,"  1,000.00 ",  600.00 ,  237.50 ,  -   ,  125.00 ,  -   ,  841.73 ,  -   ,  -   ,  -   ,"  5,804.23 "
,,,,,,,,,,,,,,,,,,,,,
,INTERNAL AUDIT DEPT.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,1,Employee H,,,,,,"  1,500.00 ","  1,000.00 ",  550.00 ,"  1,000.00 ","  1,025.00 ",  500.00 ,,  125.00 ,,  821.73 ,,,,"  6,521.73 "
,,,,,,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,  -   ,  -   ,  -   ,  -   ,"  1,500.00 ","  1,000.00 ",  550.00 ,"  1,000.00 ","  1,025.00 ",  500.00 ,  -   ,  125.00 ,  -   ,  821.73 ,  -   ,  -   ,  -   ,"  6,521.73 "
,,,,,,,,,,,,,,,,,,,,,
,FOOD & BEVERAGES DEPT.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,1,Employee I,,,,,,"  3,650.00 ",,,"  2,500.00 ",,  800.00 ,,  125.00 ,,"  1,178.87 ",,,,"  8,253.87 "
,,,,,,,,,,,,,,,,,,,,,
,,SUB TOTAL >>,,  -   ,  -   ,  -   ,  -   ,"  3,650.00 ",  -   ,  -   ,"  2,500.00 ",  -   ,  800.00 ,  -   ,  125.00 ,  -   ,"  1,178.87 ",  -   ,  -   ,  -   ,"  8,253.87 "
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,GRAND TOTAL,,"  2,885.00 ",  -   ,"  2,210.47 ",  -   ,"  19,868.00 ","  6,100.00 ","  1,050.00 ","  14,700.00 ","  3,775.00 ","  3,080.00 ",  200.00 ,"  1,125.00 ",  -   ,"  6,882.32 ",  246.50 ,  102.68 ,  -   ,"  62,224.97 "
