,,,,,,,,,,,,,,,,,,,,,
,,,RANCHO PALOS VERDES GOLF AND COUNTRY CLUB,,,,,,,,,,,,,,,,,,
,,,COMPENSATION SUMMARY,,,,,,,,,,,,,,,,,,
,,,Supervisory,,,,,,,,,,,,,,,,,,
,,,PAYROLL PERIOD:," Nov. 24 to Dec. 08, 2025 ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,EMPLOYEE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,basic,,s-leave,,,,ot,,leg.,,spec.,,RD,RD,,Total
,,,, Rate ,per hr.,hrs., Basic ,hrs.,Sick Leave,nd-hrs.,Night Diff,hrs.,Ot-Reg.,hrs.,Legal Hol.,hrs.,Special Hol.,hrs.,Duty,Adjustment,
,FINANCE DEPARTMENT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,.,Employee A,,"  10,618.21 ",  101.77 ,  104.33 ,"  10,618.21 ",,0.00,,,,  -   ,,  -   ,,  -   ,,  -   ,,"10,618.21 "
,,,,,  -   ,,  -   ,,,,,,,,,,,,,,
2,.,Emplpoyee B,,"  25,000.00 ",  239.62 ,  104.33 ,"  25,000.00 ",,0.00,,,,  -   ,,  -   ,,  -   ,,  -   ,,"25,000.00 "
,,,,,  -   ,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,,,,"  35,618.21 ",,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  35,618.21 "
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,,,,  -   ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0.00 
,,,,,,,,,,,,,,,,,,,,,
,GENERAL AND ADMINISTRATION,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,.,Employee C,,"  10,618.21 ",  101.77 ,  103.83 ,"  10,567.32 ",,0.00,,,,  -   ,,  -   ,,  -   ,,  -   ,,"10,567.32 "
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,,,,"  10,567.32 ",,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,  -   ,"  10,567.32 "
,,,,,,,,,,,,,,,,,,,,,
,GOLF MAINTENANCE,,,,,,,,,,,,,,,,,,,,
1,.,Employee D,,"  15,978.21 ",  153.15 ,  92.33 ,"  14,140.46 ",12,1837.75,,,,  -   ,,  -   ,,  -   ,,  -   ,,"15,978.20 "
,,,,,  -   ,,,,,,,,,,,,,,,,
2,.,Employee E,,"  10,698.21 ",  102.54 ,  96.33 ,"  9,877.90 ",8,820.31,,,,  -   ,,  -   ,,  -   ,,  -   ,,"10,698.21 "
,,,,,,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,,,,"  24,018.35 ",,"  2,658.06 ",,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,  -   ,"  26,676.41 "
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,GOLF OPERATION,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,.,Employee F,,"  15,618.21 ",  149.70 ,  79.33 ,"  11,875.82 ",24,3592.69,,,,  -   ,,  -   ,,  -   ,,  -   ,,"15,468.51 "
,,,,                     ,,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,,,,"  11,875.82 ",,"  3,592.69 ",,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,  -   ,"  15,468.51 "
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,HUMAN RESOURCE & DEVELOPMENT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,.,Employee G,,"  10,458.21 ",  100.24 ,  104.33 ,"  10,458.21 ",,0.00,,,,  -   ,,  -   ,,  -   ,,  -   ,,"10,458.21 "
,,,,,,   ,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,,,,"  10,458.21 ",,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,  -   ,"  10,458.21 "
,,,,,,,,,,,,,,,,,,,,,
,INTERNAL AUDIT DEPT.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,.,Employee H,,"  10,618.21 ",  101.77 ,  104.33 ,"  10,618.21 ",,0.00,,,,  -   ,,  -   ,,  -   ,,  -   ,,"10,618.21 "
,,,,,,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,,,,"  10,618.21 ",,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,  -   ,"  10,618.21 "
,,,,,,,,,,,,,,,,,,,,,
,FOOD AND BEVERAGES,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,.,Employee I,,"  15,858.21 ",  152.00 ,  92.33 ,"  14,034.26 ",12,1823.95,,,,  -   ,,  -   ,,  -   ,,  -   ,,"15,858.20 "
,,,,,,,,,,,,,,,,,,,,,
,,,SUB TOTAL >>,,,,"  14,034.26 ",,"  1,823.95 ",,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,  -   ,"  15,858.20 "
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,GRAND TOTAL,,,,"  117,190.37 ",,"  8,074.69 ",,  -   ,,  -   ,,  -   ,,  -   ,,  -   ,  -   ,"  125,265.07 "
