,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,SIGNATURE LEDGER,,,,,,
,,,SUPERVISOR,,,,,,
,,,"Payroll Period:  Nov. 24 to Dec. 08, 2025",,,,,,
,,,,,,,,,
,,,,,,,,,
,,CLUB HOUSE,,,,,,,
,,,,,,,GROSS,TOTAL,NET
,,,,,,,PAY,DEDUCTIONS,PAY
,,,,,,,,,
,,,,,,,,,
,,,FINANCE DEPARTMENT,,,,,,
,,,,,,,,,
,1,.,Employee A [012406-0058],,,,"  10,618.21 ","  8,152.73 ","2,465.48 "
,,,,,,,,  -   ,  -   
,2,.,Employee B [010600-0006],,,,"  25,000.00 ","  10,041.66 ","14,958.34 "
,,,,,,,,,
,,,,,DEPARTMENT TOTAL >>,,"  35,618.21 ","  18,194.39 ","  17,423.82 "
,,,,,,,,,
,,,,,,,,,
,,,GENERAL AND ADMINISTRATION,,,,,,
,,,,,,,,,
,1,.,Employee C,,,[080109-0087],"  10,567.32 ","  8,487.06 ","2,080.26 "
,,,,,,,,,
,,,,,DEPARTMENT TOTAL >>,,"  10,567.32 ","  8,487.06 ","  2,080.26 "
,,,,,,,,,
,,,,,,,,,
,,,GOLF MAINTENANCE,,,,,,
,,,,,,,,,
,1,.,Employee D [120199-0004],,,,"  15,978.20 ","  7,054.02 ","8,924.18 "
,,,,,,,,  -   ,  -   
,2,.,Employee E [082902-0039],,,,"  10,698.21 ","  3,415.73 ","7,282.48 "
,,,,,,,,,
,,,,,DEPARTMENT TOTAL >>,,"  26,676.41 ","  10,469.75 ","  16,206.66 "
,,,,,,,,,
,,,,,,,,,
,,,GOLF OPERATION,,,,,,
,,,,,,,,,
,1,.,Employee F [032411-0108],,,,"  15,468.51 ","  4,493.94 ","10,974.57 "
,,,,,,,,,
,,,,,DEPARTMENT TOTAL >>,,"  15,468.51 ","  4,493.94 ","  10,974.57 "
,,,,,,,,,
,,,,,,,,,
,,,HUMAN RESOURCE & DEVELOPMENT,,,,,,
,,,,,,,,,
,1,.,Employee G  [022718-1802],,,,"  10,458.21 ","  5,804.23 ","4,653.98 "
,,,,,,,,,
,,,,,DEPARTMENT TOTAL >>,,"  10,458.21 ","  5,804.23 ","  4,653.98 "
,,,,,,,,,
,,,INTERNAL AUDIT  DEPT.,,,,,,
,,,,,,,,,
,1,.,Employee H[092406-0064],,,,"  10,618.21 ","  6,521.73 ","4,096.48 "
,,,,,,,,,
,,,,,DEPARTMENT TOTAL >>,,"  10,618.21 ","  6,521.73 ","  4,096.48 "
,,,,,,,,,
,,,MEMBERSHIP,,,,,,
,,,,,,,,,
,1,.,Employee I  [102301-0013],,,,"  15,858.20 ","  8,253.87 ","7,604.33 "
,,,,,,,,,
,,,,,DEPARTMENT TOTAL >>,,"  15,858.20 ","  8,253.87 ","  7,604.33 "
,,,,,,,,,
,,,,,DIVISION TOTAL >>,,"  125,265.07 ","  62,224.97 ","  63,040.10 "
